timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg
1.236002984,1.236002984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,1,0
1.2360046912,1.2360046912,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,1,0
1.2360063984,1.2360063984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,1,0
1.236502984,1.236502984,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,1,0
1.2365059256,1.2365059256,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,1,0
1.2370010168,1.2370010168,10.0.2.0,4009,car[4],2000,0.0004980252,0,0.002,1,0
1.2370046912,1.2370046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,1,0
1.237502984,1.237502984,10.0.2.112,4009,car[6],2000,0.0000016996,0,0.002,1,0
1.237503428,1.237503428,10.0.3.136,4009,car[11],2000,0.0005016708,0,0.002,1,0
1.238002984,1.238002984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,1,0
1.238502984,1.238502984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,1,0
1.2385046912,1.2385046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,1,0
1.239002984,1.239002984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,1,0
1.2400010168,1.2400010168,10.0.4.48,4009,car[14],2000,0.0004997324,0,0.002,1,0
1.241502984,1.241502984,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,1,0
1.2420010168,1.2420010168,10.0.2.224,4009,car[8],2000,0.0009997324,0,0.002,1,0
1.2420034568,1.2420034568,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,1,0
1.2430010168,1.2430010168,10.0.1.32,4009,car[0],2000,0.0004997324,0,0.002,1,0
1.246002984,1.246002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,2,1
